barrio;tamaño;renta
Ciudad de Madrid;2,56;40440,05481
 01. Centro;2,05;30197,43913
   011. Palacio;2,04;32445,45492
   012. Embajadores;2,12;23833,41067
   013. Cortes;2,02;32402,84978
   014. Justicia;2,01;35913,32745
   015. Universidad;2,02;28883,0457
   016. Sol;2;27706,54629
 02. Arganzuela;2,41;38308,48059
   021. Imperial;2,42;41022,21749
   022. Acacias;2,44;43511,82474
   023. Chopera;2,4;30204,58005
   024. Legazpi;2,52;46590,4625
   025. Delicias;2,42;37964,11334
   026. Palos de Moguer;2,27;32217,59554
   027. Atocha;2,62;36648,57048
 03. Retiro;2,5;54250,43371
   031. Pacífico;2,35;40850,64894
   032. Adelfas;2,46;44308,38117
   033. Estrella;2,74;57297,0806
   034. Ibiza;2,37;44355,76002
   035. Jerónimos;2,54;68950,3503
   036. Niño Jesús;2,74;69740,38122
 04. Salamanca;2,36;57371,9892
   041. Recoletos;2,38;82755,03526
   042. Goya;2,28;47231,66989
   043. Fuente del Berro;2,33;39343,29398
   044. Guindalera;2,38;44887,62775
   045. Lista;2,33;46932,6376
   046. Castellana;2,51;83081,67071
 05. Chamartín;2,55;65216,04049
   051. El Viso;2,84;113001,0408
   052. Prosperidad;2,36;42259,31625
   053. Ciudad Jardín;2,38;41735,83314
   054. Hispanoamérica;2,58;61176,68512
   055. Nueva España;2,71;77392,05533
   056. Castilla;2,66;55731,31226
 06. Tetuán;2,4;32624,34556
   061. Bellas Vistas;2,49;29188,96051
   062. Cuatro Caminos;2,32;40897,4818
   063. Castillejos;2,26;44890,05834
   064. Almenara;2,46;27382,4389
   065. Valdeacederas;2,46;26530,57243
   066. Berruguete;2,43;26856,56141
 07. Chamberí;2,3;49347,59636
   071. Gaztambide;2,23;42284,77332
   072. Arapiles;2,23;40170,27598
   073. Trafalgar;2,16;39427,80057
   074. Almagro;2,52;69448,64912
   075. Ríos Rosas;2,32;47942,16513
   076. Vallehermoso;2,45;56811,91405
 08. Fuencarral-El Pardo;2,73;54478,57992
   081. El Pardo;2,62;36339,55424
   082. Fuentelarreina;3,02;97929,55703
   083. Peñagrande;2,7;44658,68625
   084. Pilar;2,43;33137,64173
   085. La Paz;2,79;57508,94586
   086. Valverde;2,69;39880,74492
   087. Mirasierra;3,16;73749,50495
   088. El Goloso;3,14;52624,00435
 09. Moncloa-Aravaca;2,65;69915,63994
   091. Casa de Campo;2,34;40609,30908
   092. Argüelles;2,35;51925,50283
   093. Ciudad Universitaria;2,7;64474,7707
   094. Valdezarza;2,49;33997,06654
   095. Valdemarín;3,52;111688,985
   096. El Plantío;3,25;114186,3034
   097. Aravaca;3,18;72527,54196
 10. Latina;2,55;29817,65945
   101. Cármenes;2,69;27725,37379
   102. Puerta del Angel;2,43;26496,74732
